States          	 S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40
Inital State    	 S0
Input  Alphabet 	 pickup, hold, drop, l4, k3, h2, h1, l3, l6, b2, k1, k2, l5, l1, l2, r1
Output Alphabet 	 object_recognized

true_ins                                 s    s'    true_outs
hold h1 l2 -                             S0   S1    object_recognized
hold h1 l1 - -                           S0   S1    object_recognized
hold h1 l5 - - -                         S0   S1    object_recognized
hold h1 k2 - - - -                       S0   S1    object_recognized
hold h1 k1 - - - - -                     S0   S1    object_recognized
hold h1 b2 - - - - - -                   S0   S1    object_recognized
hold h1 l6 - - - - - - -                 S0   S1    object_recognized
hold h1 l3 - - - - - - - -               S0   S1    object_recognized
hold h2 r1                               S0   S1    object_recognized
hold h2 l2 -                             S0   S1    object_recognized
hold h2 l1 - -                           S0   S1    object_recognized
hold h2 l5 - - -                         S0   S1    object_recognized
hold h2 k2 - - - -                       S0   S1    object_recognized
hold h2 k1 - - - - -                     S0   S1    object_recognized
hold h2 b2 - - - - - -                   S0   S1    object_recognized
hold h2 l6 - - - - - - -                 S0   S1    object_recognized
hold h2 l3 - - - - - - - -               S0   S1    object_recognized
hold h2 h1 - - - - - - - - -             S0   S1    object_recognized
hold k3 r1                               S0   S1    object_recognized
hold k3 l2 -                             S0   S1    object_recognized
hold k3 l1 - -                           S0   S1    object_recognized
hold k3 l5 - - -                         S0   S1    object_recognized
hold k3 k2 - - - -                       S0   S1    object_recognized
hold k3 k1 - - - - -                     S0   S1    object_recognized
hold k3 b2 - - - - - -                   S0   S1    object_recognized
hold k3 l6 - - - - - - -                 S0   S1    object_recognized
hold k3 l3 - - - - - - - -               S0   S1    object_recognized
hold k3 h1 - - - - - - - - -             S0   S1    object_recognized
hold k3 h2 - - - - - - - - - -           S0   S1    object_recognized
hold l4 r1                               S0   S1    object_recognized
hold l4 l2 -                             S0   S1    object_recognized
hold l4 l1 - -                           S0   S1    object_recognized
hold l4 l5 - - -                         S0   S1    object_recognized
hold l4 k2 - - - -                       S0   S1    object_recognized
hold l4 k1 - - - - -                     S0   S1    object_recognized
hold l4 b2 - - - - - -                   S0   S1    object_recognized
hold l4 l6 - - - - - - -                 S0   S1    object_recognized
hold l4 l3 - - - - - - - -               S0   S1    object_recognized
hold l4 h1 - - - - - - - - -             S0   S1    object_recognized
hold l4 h2 - - - - - - - - - -           S0   S1    object_recognized
hold l4 k3 - - - - - - - - - - -         S0   S1    object_recognized
hold drop - - - - - - - - - - - - -      S0   S1    object_recognized
pickup                                   S0   S1    object_recognized
pickup l2 r1                             S0   S1    object_recognized
pickup l1 r1                             S0   S1    object_recognized
pickup l1 l2 -                           S0   S1    object_recognized
pickup l5 r1                             S0   S1    object_recognized
pickup l5 l2 -                           S0   S1    object_recognized
pickup l5 l1 - -                         S0   S1    object_recognized
pickup k2 r1                             S0   S1    object_recognized
pickup k2 l2 -                           S0   S1    object_recognized
pickup k2 l1 - -                         S0   S1    object_recognized
pickup k2 l5 - - -                       S0   S1    object_recognized
pickup k1 r1                             S0   S1    object_recognized
pickup k1 l2 -                           S0   S1    object_recognized
pickup k1 l1 - -                         S0   S1    object_recognized
pickup k1 l5 - - -                       S0   S1    object_recognized
pickup k1 k2 - - - -                     S0   S1    object_recognized
pickup b2 r1                             S0   S1    object_recognized
pickup b2 l2 -                           S0   S1    object_recognized
pickup b2 l1 - -                         S0   S1    object_recognized
pickup b2 l5 - - -                       S0   S1    object_recognized
pickup b2 k2 - - - -                     S0   S1    object_recognized
pickup b2 k1 - - - - -                   S0   S1    object_recognized
pickup l6 r1                             S0   S1    object_recognized
pickup l6 l2 -                           S0   S1    object_recognized
pickup l6 l1 - -                         S0   S1    object_recognized
pickup l6 l5 - - -                       S0   S1    object_recognized
pickup l6 k2 - - - -                     S0   S1    object_recognized
pickup l6 k1 - - - - -                   S0   S1    object_recognized
pickup l6 b2 - - - - - -                 S0   S1    object_recognized
pickup l3 r1                             S0   S1    object_recognized
pickup l3 l2 -                           S0   S1    object_recognized
pickup l3 l1 - -                         S0   S1    object_recognized
pickup l3 l5 - - -                       S0   S1    object_recognized
pickup l3 k2 - - - -                     S0   S1    object_recognized
pickup l3 k1 - - - - -                   S0   S1    object_recognized
pickup l3 b2 - - - - - -                 S0   S1    object_recognized
pickup l3 l6 - - - - - - -               S0   S1    object_recognized
pickup h1 r1                             S0   S1    object_recognized
pickup h1 l2 -                           S0   S1    object_recognized
pickup h1 l1 - -                         S0   S1    object_recognized
pickup h1 l5 - - -                       S0   S1    object_recognized
pickup h1 k2 - - - -                     S0   S1    object_recognized
pickup h1 k1 - - - - -                   S0   S1    object_recognized
pickup h1 b2 - - - - - -                 S0   S1    object_recognized
pickup h1 l6 - - - - - - -               S0   S1    object_recognized
pickup h1 l3 - - - - - - - -             S0   S1    object_recognized
pickup h2 r1                             S0   S1    object_recognized
pickup h2 l2 -                           S0   S1    object_recognized
pickup h2 l1 - -                         S0   S1    object_recognized
pickup h2 l5 - - -                       S0   S1    object_recognized
pickup h2 k2 - - - -                     S0   S1    object_recognized
pickup h2 k1 - - - - -                   S0   S1    object_recognized
pickup h2 b2 - - - - - -                 S0   S1    object_recognized
pickup h2 l6 - - - - - - -               S0   S1    object_recognized
pickup h2 l3 - - - - - - - -             S0   S1    object_recognized
pickup h2 h1 - - - - - - - - -           S0   S1    object_recognized
pickup k3 r1                             S0   S1    object_recognized
pickup k3 l2 -                           S0   S1    object_recognized
pickup k3 l1 - -                         S0   S1    object_recognized
pickup k3 l5 - - -                       S0   S1    object_recognized
pickup k3 k2 - - - -                     S0   S1    object_recognized
pickup k3 k1 - - - - -                   S0   S1    object_recognized
pickup k3 b2 - - - - - -                 S0   S1    object_recognized
pickup k3 l6 - - - - - - -               S0   S1    object_recognized
pickup k3 l3 - - - - - - - -             S0   S1    object_recognized
pickup k3 h1 - - - - - - - - -           S0   S1    object_recognized
pickup k3 h2 - - - - - - - - - -         S0   S1    object_recognized
pickup l4 r1                             S0   S1    object_recognized
pickup l4 l2 -                           S0   S1    object_recognized
pickup l4 l1 - -                         S0   S1    object_recognized
pickup l4 l5 - - -                       S0   S1    object_recognized
pickup l4 k2 - - - -                     S0   S1    object_recognized
pickup l4 k1 - - - - -                   S0   S1    object_recognized
pickup l4 b2 - - - - - -                 S0   S1    object_recognized
pickup l4 l6 - - - - - - -               S0   S1    object_recognized
pickup l4 l3 - - - - - - - -             S0   S1    object_recognized
pickup l4 h1 - - - - - - - - -           S0   S1    object_recognized
pickup l4 h2 - - - - - - - - - -         S0   S1    object_recognized
pickup l4 k3 - - - - - - - - - - -       S0   S1    object_recognized
pickup drop - - - - - - - - - - - - -    S0   S1    object_recognized
pickup hold - - - - - - - - - - - - - -  S0   S1    object_recognized
hold l4                                  S0   S2    object_recognized
hold k3                                  S0   S3    object_recognized
hold h2                                  S0   S4    object_recognized
hold h1                                  S0   S5    object_recognized
hold l3                                  S0   S6    object_recognized
hold l6                                  S0   S7    object_recognized
hold b2                                  S0   S8    object_recognized
hold k1                                  S0   S9    object_recognized
hold k2                                  S0   S10   object_recognized
hold l5                                  S0   S11   object_recognized
hold l1                                  S0   S12   object_recognized
hold l2                                  S0   S13   object_recognized
hold r1                                  S0   S14   object_recognized
pickup l4                                S0   S15   object_recognized
drop l4                                  S0   S16   object_recognized
pickup k3                                S0   S17   object_recognized
drop k3                                  S0   S18   object_recognized
pickup h2                                S0   S19   object_recognized
drop h2                                  S0   S20   object_recognized
pickup h1                                S0   S21   object_recognized
drop h1                                  S0   S22   object_recognized
pickup l3                                S0   S23   object_recognized
drop l3                                  S0   S24   object_recognized
pickup l6                                S0   S25   object_recognized
drop l6                                  S0   S26   object_recognized
pickup b2                                S0   S27   object_recognized
drop b2                                  S0   S28   object_recognized
pickup k1                                S0   S29   object_recognized
drop k1                                  S0   S30   object_recognized
pickup k2                                S0   S31   object_recognized
drop k2                                  S0   S32   object_recognized
pickup l5                                S0   S33   object_recognized
drop l5                                  S0   S34   object_recognized
pickup l1                                S0   S35   object_recognized
drop l1                                  S0   S36   object_recognized
pickup l2                                S0   S37   object_recognized
drop l2                                  S0   S38   object_recognized
pickup r1                                S0   S39   object_recognized
drop r1                                  S0   S40   object_recognized
- - - - - - - - - - - - - - - -          S1   S1    object_recognized
- - - - - - - - - - - - - -              S2   S1    object_recognized
hold - -                                 S2   S1    object_recognized
hold l1 r1                               S2   S1    object_recognized
hold l1 l2 -                             S2   S1    object_recognized
hold l5 r1                               S2   S1    object_recognized
hold l5 l2 -                             S2   S1    object_recognized
hold l5 l1 - -                           S2   S1    object_recognized
hold k2 - - - -                          S2   S1    object_recognized
hold k1 - - - - -                        S2   S1    object_recognized
hold b2 - - - - - -                      S2   S1    object_recognized
