  t  inputs             outputs
---  -----------------  ----------------
  0  object_recognized  pickup, hold, l4
  1  object_recognized  hold, l5
  2  object_recognized  hold, l6
  3  object_recognized  hold, l3
  4  object_recognized  hold, l6
  5  object_recognized  hold, l5
  6  object_recognized  hold, l4
  7  object_recognized  hold, l1
  8                     hold, l1
  9  object_recognized  hold, l2
 10  object_recognized  hold, l5
 11  object_recognized  pickup, hold, l4
 12  object_recognized  hold, l5
 13  object_recognized  hold, l6
 14  object_recognized  hold, l3
 15  object_recognized  hold, l6
 16  object_recognized  hold, l5
 17  object_recognized  hold, l4
 18  object_recognized  hold, l1
 19                     hold, l1
 20  object_recognized  hold, l2
 21  object_recognized  hold, l5
 22  object_recognized  pickup, hold, l4
 23  object_recognized  hold, l5
 24  object_recognized  hold, l6
 25  object_recognized  hold, l3
 26  object_recognized  hold, l6
 27  object_recognized  hold, l5
 28  object_recognized  hold, l4
 29  object_recognized  hold, l1
 30  object_recognized  hold, l2
 31  object_recognized  hold, l5
 32  object_recognized  pickup, hold, l4
 33  object_recognized  hold, l5
 34  object_recognized  hold, l6
 35  object_recognized  hold, l3
 36  object_recognized  hold, l6
 37  object_recognized  hold, l5
 38  object_recognized  hold, l4
 39  object_recognized  hold, l1
 40                     hold, l1
 41                     hold, l1
 42  object_recognized  hold, l2
 43  object_recognized  hold, l5
 44  object_recognized  pickup, hold, l4
 45  object_recognized  hold, l5
 46  object_recognized  hold, l6
 47  object_recognized  hold, l3
 48  object_recognized  hold, l6
 49  object_recognized  hold, l5
